year,region,source_income,soc_eco_class,value,unit,source
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,34438.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,56633.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานเกษตร,13921.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานทั่วไป,16701.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,25661.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22334.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,17413.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,21624.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,22000.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,15285.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,33880.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,58019.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานเกษตร,14565.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานทั่วไป,16958.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,26160.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22486.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,17169.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),รวม,26018.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,21506.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,21728.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,15707.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,32755.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,53817.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานเกษตร,14014.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานทั่วไป,17085.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,26461.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22556.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,16523.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),รวม,22873.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,19935.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,17830.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,12107.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,30544.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,51431.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานเกษตร,13956.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),รวม,26946.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานทั่วไป,12465.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,21281.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,16959.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,14287.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),รวม,24845.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,21191.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,21505.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,13996.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,33605.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,55811.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานเกษตร,13801.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานทั่วไป,16126.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,22178.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22391.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,14097.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),รวม,26518.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,20952.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,21747.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,13304.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,34227.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,56407.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานเกษตร,13808.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานทั่วไป,16595.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,25534.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22209.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,16151.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),รวม,26603.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,21417.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,21774.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,15015.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,33681.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,57813.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานเกษตร,14483.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานทั่วไป,16846.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,25993.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22382.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,16245.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),รวม,25718.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,21311.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,21477.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,15632.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,32536.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,53627.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานเกษตร,13944.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),คนงานทั่วไป,16948.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,26324.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22417.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2562,ทั่วประเทศ,รายได้ประจำ (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,15806.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),รวม,19712.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,16832.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,14967.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,10067.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,27465.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,46117.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),คนงานเกษตร,12006.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),คนงานทั่วไป,10363.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,18478.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,14494.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,10951.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),รวม,21562.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,18070.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,11667.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,18545.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,30119.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,20483.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ประจำที่เป็นตัวเงิน (รวม),คนงานเกษตร,11619.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
