year,region,type_expenditur,soc_eco_class,value,unit,source
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การจัดงานพิธี  ในโอกาสพิเศษ),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,257.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การจัดงานพิธี  ในโอกาสพิเศษ),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,120.64,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,1288.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคเหนือ,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,1560.50,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,รวมทั้งสิ้น,15092.20,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ยาสูบ หมาก ยานัตถุ์ และอื่นๆ),รวมทั้งสิ้น,68.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ยาสูบ หมาก ยานัตถุ์ และอื่นๆ),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,75.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ยาสูบ หมาก ยานัตถุ์ และอื่นๆ),เสมียนพนักงาน พนักงานขายและให้บริการ,121.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การศึกษา),ผู้ปฏิบัติงานในกระบวนการผลิต,181.27,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การศึกษา),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,214.51,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),รวมทั้งสิ้น,238.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,177.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,171.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,121.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,320.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,540.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),คนงานเกษตร,75.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),คนงานทั่วไป,151.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),เสมียนพนักงาน พนักงานขายและให้บริการ,254.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ปฏิบัติงานในกระบวนการผลิต,181.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,209.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),รวมทั้งสิ้น,244.10,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,200.43,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,177.72,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,108.07,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,321.90,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,590.66,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),คนงานเกษตร,139.48,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),คนงานทั่วไป,153.17,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),เสมียนพนักงาน พนักงานขายและให้บริการ,235.30,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การบันเทิง การอ่านและกิจกรรมทางศาสนา),ผู้ปฏิบัติงานในกระบวนการผลิต,220.65,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,13114.42,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,13397.79,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,11481.24,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,19492.79,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,30162.76,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,คนงานเกษตร,10497.98,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,คนงานทั่วไป,13013.16,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,เสมียนพนักงาน พนักงานขายและให้บริการ,15338.59,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ปฏิบัติงานในกระบวนการผลิต,14787.64,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,11828.25,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,รวมทั้งสิ้น,17032.36,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,14540.09,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,18251.06,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,11028.53,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,21756.23,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,32686.54,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,คนงานเกษตร,10770.90,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,คนงานทั่วไป,11612.10,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,เสมียนพนักงาน พนักงานขายและให้บริการ,18669.21,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ปฏิบัติงานในกระบวนการผลิต,15055.08,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,13540.78,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,รวมทั้งสิ้น,16513.01,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,14759.09,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,17906.50,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,12920.10,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,21268.91,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,32574.74,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,คนงานเกษตร,11880.64,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,คนงานทั่วไป,13304.65,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,เสมียนพนักงาน พนักงานขายและให้บริการ,19527.51,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ปฏิบัติงานในกระบวนการผลิต,14321.56,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคตะวันออกเฉียงเหนือ,รวม,ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,12314.15,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคตะวันออกเฉียงเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,13222.87,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,5350.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
